Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
10/08/2017,EARNZ PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,5.67
04/05/2021,EAST STAR RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,5.07
22/11/2000,EASYJET PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"3,879.50"
05/05/2000,EBIQUITY PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,29.72
21/09/1995,ECCLESIASTICAL INSURANCE OFFICE PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,141.05
26/09/1995,ECO ANIMAL HEALTH GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,43.7
08/02/2017,ECO (ATLANTIC) OIL & GAS LTD,Energy,Energy,Canada,North America,AIM ,Yes,35.46
31/08/2012,ECO BUILDINGS GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,5.81
26/09/2016,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,202.69
22/12/2020,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,32.31
30/12/1996,ECORA RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,153.88
20/01/2006,ECR MINERALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,6.98
11/05/2012,EDEN RESEARCH PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,21.6
08/02/1952,EDINBURGH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,109.56"
10/07/1998,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,738.92
02/04/2015,EDITA FOOD INDUSTRIES S.A.E.,Consumer Staples ,"Food, Beverage and Tobacco ",Egypt,Middle East,MAIN MARKET ,Yes,-
04/04/2005,EENERGY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,19.75
04/08/1998,EFG HOLDING S.A.E.,Financials,Financial Services ,Egypt,Middle East,MAIN MARKET ,Yes,-
07/04/2017,EJF INVESTMENTS LTD,,,Jersey,Europe,MAIN MARKET ,No,72.15
07/07/2010,EKF DIAGNOSTICS HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,113.43
22/03/2006,ELECO PUBLIC LIMITED COMPANY,Technology,Technology,United Kingdom,Europe,AIM ,No,120.8
11/01/2022,ELECTRIC GUITAR PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,0.62
01/04/1964,ELEMENTIS PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,932.52
09/07/2020,ELIXIRR INTERNATIONAL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,354.18
15/02/2017,EMMERSON PLC,Basic Materials,Basic Resources,Isle of Man,Europe,AIM ,No,11.64
17/12/2010,EMPIRE METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,61.24
30/06/2014,EMPIRIC STUDENT PROPERTY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,557.09
03/11/2004,EMPRESARIA GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,13.21
27/07/2005,EMPYREAN ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,3.19
16/09/2013,EMV CAPITAL PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,13.47
14/06/2021,ENDEAVOUR MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"4,002.82"
22/11/2021,ENERAQUA TECHNOLOGIES PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,12.96
16/03/2018,ENERGEAN PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,"1,699.95"
30/11/2022,ENERGYPATHWAYS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,10.7
12/03/2018,ENGAGE XR HOLDINGS PLC,Technology,Technology,Ireland,Europe,AIM ,Yes,7.09
06/04/2010,ENQUEST PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,219.11
24/05/2022,ENSILICA PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,40.57
20/03/2013,ENTAIN PLC,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,MAIN MARKET ,No,"4,518.62"
18/05/2012,ENTEQ TECHNOLOGIES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,1.36
27/09/2002,ENWELL ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,67.33
21/09/2018,EPE SPECIAL OPPORTUNITIES LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET / AIM ,Yes,43.51
24/07/2014,EPWIN GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,127.72
20/10/2008,EQTEC PLC,Energy,Energy,Ireland,Europe,AIM ,Yes,2.02
05/08/2014,EQUALS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,262.71
29/05/2019,ESSENSYS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,23.94
06/06/2005,ESSENTRA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,357.08
29/06/2017,ETHERNITY NETWORKS LTD,Telecommunications,Telecommunications,Israel,Middle East,AIM ,Yes,1.19
02/10/1996,EURASIA MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,77.74
09/03/2015,EUROCELL PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,147.26
15/12/2010,EUROPA METALS LTD,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,0
11/11/2004,EUROPA OIL & GAS (HOLDINGS) PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,7.43
18/03/2019,EUROPEAN ASSETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,306.06
08/04/2024,EUROPEAN GREEN TRANSITION PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,13.02
10/12/2015,EUROPEAN METALS HOLDINGS LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,16.08
20/11/2000,EUROPEAN OPPORTUNITIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,538.14
29/09/2023,EUTELSAT COMMUNICATIONS S.A.,Telecommunications,Telecommunications,France,Europe,MAIN MARKET ,Yes,"1,693.76"
22/07/2015,EVEREST GLOBAL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,0.97
07/11/2013,EVERYMAN MEDIA GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,34.19
04/10/2005,EVOKE PLC,Consumer Discretionary,Travel and Leisure,Gibraltar,Europe,MAIN MARKET ,Yes,317.27
08/06/2005,EVRAZ PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"1,179.93"
11/10/2006,EXPERIAN PLC,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET ,No,"36,855.31"
30/06/1999,EZZ STEEL COMPANY - S.A.E.,Basic Materials,Basic Resources,Egypt,Middle East,MAIN MARKET ,Yes,-
05/01/2022,FACILITIES BY ADF PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,34.77
06/04/2023,"FADEL PARTNERS, INC.",Technology,Technology,United States,North America,AIM ,Yes,14.16
12/06/2014,FAIR OAKS INCOME LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,18.93
11/10/2024,FAIRVIEW INTERNATIONAL PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,61.16
28/03/2013,FALCON OIL & GAS LTD.,Energy,Energy,Canada,North America,AIM ,Yes,80.41
12/07/2017,FANDANGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.6
17/11/2015,FARON PHARMACEUTICALS OY,Health Care ,Health Care  ,Finland,Europe,AIM ,Yes,180.48
21/03/1952,F&C INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"5,726.38"
20/06/2014,FDM GROUP (HOLDINGS) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,257.26
28/03/2002,FD TECHNOLOGIES PUBLIC LIMITED COMPANY,Technology,Technology,United Kingdom,Europe,AIM ,No,411.66
31/01/2006,FEDERAL BANK LIMITED (THE),Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
31/12/2003,FEEDBACK PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,8.41
01/08/2024,FERGUSON ENTERPRISES INC.,Industrials,Industrial Goods and Services,United States,North America,MAIN MARKET ,Yes,"29,112.09"
20/06/2007,FERREXPO PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,662.74
28/03/2019,FERRO-ALLOY RESOURCES LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,MAIN MARKET ,No,40.74
07/11/2014,FEVERTREE DRINKS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,933.9
13/06/1996,FIDELITY ASIAN VALUES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,349.26
19/04/2010,FIDELITY CHINA SPECIAL SITUATIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,165.55"
06/07/1989,FIDELITY EMERGING MARKETS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,490.57
06/11/1991,FIDELITY EUROPEAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,577.70"
15/03/1994,FIDELITY JAPAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,203.35
17/11/1994,FIDELITY SPECIAL VALUES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,047.97"
13/01/2003,FIH GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,32.05
12/12/2003,FIINU PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,21.64
24/10/1994,FILTRONIC PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,220.08
25/03/1953,FINSBURY GROWTH & INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,437.45"
06/04/2021,FINSETA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,21.82
15/09/2022,FINTECH ASIA LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,9.88
04/04/2018,FINTEL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,291.74
12/11/2021,FIRERING STRATEGIC MINERALS PLC,Basic Materials,Basic Resources,Cyprus,Europe,AIM ,Yes,7.28
29/07/2022,FIRST CLASS METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1.61
16/06/1995,FIRSTGROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,980.8
22/12/2000,FIRST PROPERTY GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,20.33
08/04/2022,FIRST TIN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,23.16
31/12/1996,FISHER (JAMES) & SONS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,154.72
12/08/1999,FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY,,,United Kingdom,Europe,MAIN MARKET ,No,-
30/03/2000,FISKE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,8.28
14/10/2008,FLETCHER KING PLC,Real Estate,Real Estate ,United Kingdom,Europe,AIM ,No,3.74
21/05/2014,FLOWTECH FLUIDPOWER PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,43.66
07/12/2000,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET ,Yes,"38,831.25"
11/12/2014,FOCUSRITE PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,115.46
29/04/2015,FONDUL PROPRIETATEA S.A.,Financials,Financial Services ,Romania,Europe,MAIN MARKET ,Yes,-
12/10/2020,FONIX PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,215.49
16/03/1998,FORESIGHT ENTERPRISE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,158.54
31/03/2014,FORESIGHT ENVIRONMENTAL INFRASTRUCTURE LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,439.44
04/02/2021,FORESIGHT GROUP HOLDINGS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,450.33
29/10/2013,FORESIGHT SOLAR FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,398.37
02/11/2010,FORESIGHT TECHNOLOGY VCT PLC,,,United Kingdom,Europe,MAIN MARKET ,No,-
17/11/1997,FORESIGHT VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,202.75
03/05/1996,FORESIGHT VENTURES VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,248.15
21/04/2016,FORTERRA PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,341.34
25/09/2013,FOXTONS GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,204.83
05/09/2016,FRAGRANT PROSPERITY HOLDINGS LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,0.3
05/08/2016,FRANCHISE BRANDS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,271.3
02/03/2007,FRASERS GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"2,864.01"
28/07/2004,FRENKEL TOPPING GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,45.44
14/05/2008,FRESNILLO PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"5,128.78"
15/07/2013,FRONTIER DEVELOPMENTS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,87.44
31/01/2011,FRONTIER IP GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,17.57
06/03/2020,FRP ADVISORY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,346.42
22/03/2024,FUEL VENTURES VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,10.26
14/02/2023,FULCRUM METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,5.41
27/08/1996,"FULLER, SMITH & TURNER PLC",Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,185.92
28/09/2018,FUNDING CIRCLE HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,410.22
18/12/2017,FUSION ANTIBODIES PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,7.53
22/07/2003,FUTURA MEDICAL PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,51.53
21/10/2021,FUTURE METALS NL,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,3.45
25/06/1999,FUTURE PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,"1,011.03"
17/08/2006,G3 EXPLORATION LIMITED,Energy,Energy,Cayman Islands,North America,MAIN MARKET ,Yes,43.86
19/07/2017,GABELLI MERGER PLUS+ TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,44.6
15/11/1999,GAIL (INDIA) LD,Energy,Energy,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
31/03/2006,GALANTAS GOLD CORPORATION,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,2.98
28/09/2011,GALILEO RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,9.31
03/01/2020,GALLIFORD TRY HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,381.1
06/10/1994,GAMES WORKSHOP GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"4,800.54"
01/08/2013,GAMING REALMS PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,105.55
10/10/2014,GAMMA COMMUNICATIONS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,"1,281.49"
08/06/2015,GATELEY (HOLDINGS) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,178.92
27/10/2006,GATTACA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,23.48
27/08/2010,GB GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,881.16
19/04/2004,GCM RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,4.58
23/10/2015,GCP ASSET BACKED INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,160.41
22/07/2010,GCP INFRASTRUCTURE INVESTMENTS LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,632.71
03/06/2015,GEAR4MUSIC (HOLDINGS) PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,31.99
10/07/2006,GEIGER COUNTER LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,70.01
30/11/2021,GELION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,21.52
19/02/2007,GEM DIAMONDS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,MAIN MARKET ,Yes,16.91
14/02/2020,GEMFIELDS GROUP LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,65.99
02/03/2022,GEM RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1.89
04/04/2007,GENEDRIVE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,11.81
22/06/2011,GENEL ENERGY PLC,Energy,Energy,Jersey,Europe,MAIN MARKET ,No,181.33
06/07/1990,GENERAL ACCIDENT PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,131.45
17/01/2022,GENFLOW BIOSCIENCES PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,6.99
22/07/2021,GENINCODE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,7.34
02/10/2024,GENIP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,5.96
16/04/2014,GENUIT GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,975.5
12/11/2007,GENUS PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"1,283.72"
29/05/2018,GEORGIA CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,471.07
06/03/2020,GEORGINA ENERGY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,4.12
04/08/2017,GETBUSY PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,27.63
23/09/2005,GETECH GROUP PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,2.9
22/12/2014,GFINITY PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,2.43
10/05/1988,GLANBIA PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Ireland,Europe,MAIN MARKET ,Yes,"3,022.74"
24/05/2011,GLENCORE PLC,Basic Materials,Basic Resources,Jersey,Europe,MAIN MARKET ,No,"42,763.50"
10/10/2017,GLENVEAGH PROPERTIES PLC,Consumer Discretionary,Consumer Products and Services,Ireland,Europe,MAIN MARKET ,Yes,781.12
25/06/2009,GLOBALDATA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,"1,478.35"
15/12/2003,GLOBAL OPPORTUNITIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,84.74
07/03/2005,GLOBAL PETROLEUM LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,7.39
25/07/2013,GLOBALWORTH REAL ESTATE INVESTMENTS LIMITED,Real Estate,Real Estate ,Guernsey,Europe,AIM ,No,608.51
16/06/2009,GOLDEN PROSPECT PRECIOUS METALS LIMITED,Financials,Financial Services ,Guernsey,Europe,ADMISSION TO TRADING ONLY ,No,38.7
31/10/2016,GOLDEN ROCK GLOBAL PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,0.7
26/07/2006,GOLDPLAT PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,11.49
25/03/2004,GOLDSTONE RESOURCES LIMITED,Basic Materials,Basic Resources,Jersey,Europe,AIM ,No,10.58
12/12/1997,GOOCH & HOUSEGO PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,113.33
30/07/2012,GOOD ENERGY GROUP PLC,Utilities,Utilities,United Kingdom,Europe,AIM ,No,88.46
18/08/1958,GOODWIN PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,551.2
25/05/2018,GORE STREET ENERGY STORAGE FUND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,224.77
06/09/1974,GRAFTON GROUP PLC,Industrials,Industrial Goods and Services,Ireland,Europe,MAIN MARKET ,Yes,"1,832.73"
21/02/1984,GRAINGER PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,579.63"
10/01/2017,GRAND VISION MEDIA HOLDINGS PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,0.94
10/10/2018,GRAN TIERRA ENERGY INC.,Energy,Energy,United States,North America,MAIN MARKET ,Yes,169.54
03/07/2006,GREATLAND GOLD PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,994.03
01/05/1959,GREAT PORTLAND ESTATES PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,171.85"
20/12/2021,GREAT SOUTHERN COPPER PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,7.98
18/08/2011,GREAT WESTERN MINING CORPORATION PLC,Basic Materials,Basic Resources,Ireland,Europe,AIM ,Yes,1.72
25/07/2017,GREENCOAT RENEWABLES PLC,Utilities,Utilities,Ireland,Europe,AIM ,Yes,726.66
27/03/2013,GREENCOAT UK WIND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"2,705.38"
17/04/1991,GREENCORE GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Ireland,Europe,MAIN MARKET ,Yes,857.74
28/09/2021,GREENROC STRATEGIC MATERIALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,3.7
03/09/2015,GREENX METALS LIMITED,Basic Materials,Basic Resources,Australia,Pacific,MAIN MARKET ,Yes,113.35
27/04/1984,GREGGS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,"2,200.54"
13/11/2018,GRESHAM HOUSE ENERGY STORAGE FUND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,233.6
10/01/2011,GRESHAM HOUSE RENEWABLE ENERGY VCT 1 PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,10.88
10/01/2011,GRESHAM HOUSE RENEWABLE ENERGY VCT 2 PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,11.14
30/06/1997,GRIFFIN MINING LIMITED,Basic Materials,Basic Resources,Bermuda,North America,AIM ,Yes,272.75
07/03/2014,GRIT INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.31
31/07/2018,GRIT REAL ESTATE INCOME GROUP LIMITED,Real Estate,Real Estate ,Guernsey,Europe,MAIN MARKET ,No,51.01
13/08/2012,GROUND RENTS INCOME FUND PLC,Real Estate,Real Estate ,United Kingdom,Europe,ADMISSION TO TRADING ONLY ,No,31.09
13/05/2022,GS CHAIN PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,5.2
22/05/1972,GSK PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"58,239.11"
22/11/2018,GSTECHNOLOGIES LTD,Industrials,Industrial Goods and Services,British Virgin Islands,North America,MAIN MARKET ,Yes,39.51
01/07/2021,GUARANTY TRUST HOLDING COMPANY PLC,Financials,Banks,Nigeria,Africa,MAIN MARKET ,Yes,-
10/05/2023,GUARDIAN METAL RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,41.72
11/04/2023,GUINNESS VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,7.98
08/09/2004,GULF KEYSTONE PETROLEUM LTD,Energy,Energy,Bermuda,North America,MAIN MARKET ,Yes,370.21
19/03/2014,GULF MARINE SERVICES PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,183.5
23/03/2006,GUNSYND PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,1.12
07/05/2008,GUSBOURNE PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,23.13
18/07/2022,HALEON PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"33,922.94"
08/06/2004,HALFORDS GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,310
18/01/1972,HALMA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"11,552.61"
01/03/2022,HAMAK GOLD LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,MAIN MARKET ,Yes,0.51
31/05/1945,HAMMERSON PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,399.50"
10/11/2006,HANATOUR SERVICE INC.,Consumer Discretionary,Travel and Leisure,South Korea,Asia,MAIN MARKET ,Yes,-
29/08/2019,HANSA INVESTMENT COMPANY LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,273.6
18/12/2006,HANSARD GLOBAL PLC,Financials,Insurance,Isle of Man,Europe,MAIN MARKET ,No,62.18
20/02/1973,HARBOUR ENERGY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,"3,382.82"
12/05/2010,HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,"2,050.05"
04/04/2005,HARDIDE PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,4.65
29/10/2004,HARGREAVE HALE AIM VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,131.16
18/05/2007,HARGREAVES LANSDOWN PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"5,229.36"
